"","text","class"
"124","Late fees add problems for tenants who missed out on work during #Harvey https://t.co/A6CCgVcs3R #houstonflood https://t.co/5NfS9JDwVm","rescue"
"39","Meeting with @EnergyCorridor businesses regarding plans to return normalcy. #Harvey #HoustonStrong https://t.co/IzGLkeYwPo","nonrescue"
"25","RT @RebeccaOnFOX7: Watch my discussion w/ Mary from @austinpetsalive about #Harvey rescue efforts. &amp; face recognition to find lost pets! #A…","nonrescue"
"45","During times like these, the following information could provide to be useful: https://t.co/JvBs6wGYJR #cattle… https://t.co/8dGlIFzUDb","nonrescue"
"24","9/5, evening: #VET members + soldiers engaged in ""puppy therapy.""
#TAMU #CVM #Harvey https://t.co/OoMe7sIgrZ","nonrescue"
"82","RT @TexasObserver: More than a week after #Harvey, Texas &amp; @USDA have yet to approve a food aid program designed to help victims https://t.…","rescue"
"36","The latest The San Antonio Daily! https://t.co/BnzZfbah9w #ksatnews #harvey","nonrescue"
"20","A little levity between #Harvey and #Irma2017 . My dog and his stick... https://t.co/6zUy4B5iMp","nonrescue"
"56","#Harvey can't keep us down. We're back at it Friday! #USTWS

<U+26BD><U+FE0F> vs. #NAIASoccer #11 @MobileRams
<ed><U+00A0><U+00BD><ed><U+00B3><U+0085> Sept. 8
<U+23F0> 7 p.m.… https://t.co/EozDzyaxZG","nonrescue"
"22","RT @Zello: If you used Zello during #Harvey please take a moment to give us feedback: https://t.co/TT8bgQCv3J https://t.co/JTJLaBBmhh","nonrescue"
"147","RT @SheriffEd_HCSO: Team @HCSOTexas is still hard at work helping our residents recover from #Harvey. We are with you. https://t.co/8S17FtX…","rescue"
"34","RT @TFRW: There are still people in need of relief from #Harvey. Visit our website to see how you can help! https://t.co/wpe6Bx1ePm","nonrescue"
"32","RT @abc13houston: The Empire State Building in New York is dark tonight in solidarity with those affected by #Harvey: https://t.co/mzSLmlYv…","nonrescue"
"68","Tell the @realDonaldTrump regime: Restore the Federal Flood Risk Management Standard. https://t.co/kjuMCTsO5a via @CREDOMobile #harvey","nonrescue"
"5","RT @stjbs: An absolutely incredible #harvey essay: I downloaded an app. Suddenly, I was a rescue dispatcher. https://t.co/8ds8PLf4Qe","nonrescue"
"79","RT @SenTedCruz: Recognized @JJWatt for his devout commitment to helping fellow Texans rebuild after #Harvey. #TexansHelpingTexans #TexasStr…","rescue"
"135","$500 relief to @CLEAT members devasted by #Harvey. https://t.co/GvQsKNEktD","rescue"
"116","All these hurricanes coming. Mother Nature is angry at the Gulf states. #RedStates #trump #Irma #jose #harvey","rescue"
"44","RT @TAMUGeosciences: Stuck at sea in the middle of Hurricane #Harvey: read this Texas A&amp;M crew's harrowing story. https://t.co/Q47bPGqR6K #…","nonrescue"
"150","6pm on @abc13houston meet Bill Fly. The 99 year-old WWII vet who lost his home during #Harvey but is making a comeb… https://t.co/Dk0qNEwx7b","rescue"
"18","RT @ReadyHarris: Touching debris that's touched #Harvey flood waters? WASH UP and WEAR GLOVES! Harris County Debris Pickup has begun. Info:…","nonrescue"
"69","RT @HoustonPubMedia: #DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/TiQ1f4cqoo #houstonflood htt…","nonrescue"
"2","RT @nathanlino: Thanks to my new friend Michael @Whataburger for donating to #Harvey relief through Farrington Mission. https://t.co/fdEtxL…","nonrescue"
"19","RT @PatrickSvitek: The breakdown of the Trumps' $1 million personal donation to #Harvey relief efforts, via the White House: https://t.co/p…","nonrescue"
"88","RT @TAMU: Last week, @TAMUyell visited NYC to talk with @SportsCenter, @foxandfriends, &amp; @finebaum about #Harvey relief! https://t.co/jCHq5…","rescue"
"133","RT @casaelbuen: We have a lot of resources. If you need help cleaning your home of debris after #Harvey register now! #HouRecovers #houston…","rescue"
"42","What's up at the Austin Diaper Bank? Our newsletter: #Harvey relief, new ED, #Diaper Need Awareness Week, new bin! https://t.co/al6mnbJXXQ","nonrescue"
"55","RT @hcphtx: Families affected by #Harvey might not be able to go to clinics, so brought #healthservices to the community. THIS IS #PUBLICHE…","nonrescue"
"59","RT @WazabiBaytown: Happy hour all night for the month of September #happy hour #harvey #sushi #foodporn #baytown","nonrescue"
"65","Well that was two hours of my life I won't be getting back. #Harvey #Traffic","nonrescue"
"51","RT @PoojaOnTV: Crews working to get Beltway 8 open again!  #abc13 #Harvey https://t.co/IWNIcJ2v0r","nonrescue"
"4","RT @AntonioArellano: Many Houston #DREAMers lost everything they had to #Harvey

Now, they've lost #DACA

Help the most vulnerable:
https:/…","nonrescue"
"107","RT @HoustonPubMedia: #DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/TiQ1f4cqoo #houstonflood htt…","rescue"
"30","This water line shows just how high flood water rose at this #Beaumont home. Has to be at least 8 feet #Harvey… https://t.co/CzOoI0alVI","nonrescue"
"95","Don't worry #Houston, we'll get you back on the road in no time #harvey #houstonstrong #truckerlife #bigrig… https://t.co/ognnc51wAZ","rescue"
"70","RT @MidlandOfficial: Please text ""Harvey"" to 90999 to help our brothers and sisters in Texas #TexasStrong #Harvey https://t.co/XqaeTTobD5","nonrescue"
"119","RT @elizabethcrisp: ICYMI: @POTUS  identifies 12 charities he's giving $1M to for #Harvey relief https://t.co/A9rqEs2Ewn","rescue"
"72","My tour of District A cont'd. Some Dist A residents west of dam finally able to return home to access the damage.… https://t.co/CF0w6NqpF3","nonrescue"
"53","#Harvey: The foundation of a home is where I'm standing. The roof is in the tree. https://t.co/HaQCnuQ5cp","nonrescue"
"132","RT @abc13houston: VOLUNTEERS NEEDED: @cohoustonfire Station 44 cooking this AM for #Harvey victims. How you can help https://t.co/0uZqkNQqz…","rescue"
"103","What's up at the Austin Diaper Bank? Our newsletter: #Harvey relief, new ED, #Diaper Need Awareness Week, new bin! https://t.co/al6mnbJXXQ","rescue"
"96","RT @abc13houston: .@JJWatt's fundraising efforts for #Harvey relief reached nearly $27 million,thanks to $5 million donation from @HEB http…","rescue"
"37","RT @HCSOTexas: So many have asked. Here's volunteer info. We need you! #harvey #hounews #HurricaneHarvey https://t.co/r96nmFJAx4","nonrescue"
"52","Oh man :( #Harvey #aftermath #whatasight https://t.co/JTRA6HJQX6","nonrescue"
"92","RT @JimSharpe: Of course they are. Godspeed

After #Harvey, @PHXFire Task Force 1 en route to Florida to help if #Irma hits https://t.co/MJ…","rescue"
"90","RT @GregAbbott_TX: Thanks to Boston dental business DentaQuest for donating $1M to https://t.co/XZ2f4R29kW to help Texas after #Harvey. htt…","rescue"
"47","RT @frijoles12: As you can plainly see #Trump folks risking their lives to save #Houston during #Harvey but  ungrateful #Antifa destroy #Be…","nonrescue"
"48","RT @torchnet: Ted Shaw and @texashospitals announce $1M gift to hospital employees affected by #Harvey. Remarkable. To give, go to https://…","nonrescue"
"15","RT @abc13houston: .@JJWatt's fundraising efforts for #Harvey relief reached nearly $27 million,thanks to $5 million donation from @HEB http…","nonrescue"
"85","If you would look closely the KFC Man looks sort of like a stick man #kfc #Harvey  #staystrongtexas #hurricane… https://t.co/lXM3P8yz8M","rescue"
"71",".@googoodolls turn The Woodlands #Texas concert into Hurricane #Harvey benefit https://t.co/b2rASJhePg https://t.co/TFoFLSYunC","nonrescue"
"98","RT @bravelittleco: The Brave Little artist family rode out #Harvey &amp; are safe. We know many students, teachers, &amp; artists need help. #Houst…","rescue"
"75","Press release on #UTSA Houston football game not being made up this season. Was canceled due to #Harvey… https://t.co/txUPvSyAx0","nonrescue"
"21","Was informed today that our kids daycare is charging us for the entire week they were closed for #harvey even though they were closed","nonrescue"
"60","RT @TDHCA: If you applied for @FEMA disaster assistance, here's what you can expect next. For more #Harvey recovery info, see: https://t.co…","nonrescue"
"7","A friend of mine in Houston needs help repairing the #Harvey damage to his home. Every little bit helps. Thank you! https://t.co/OfoojXpjVp","nonrescue"
"115","Three hours on the road and still counting.. Takes 45 mins in heavy traffic on a regular day #houston #Harvey","rescue"
"12","The tiger and two lions have been transported to @TheAustinZoo until @thetexaszoo is operational again. #Harvey https://t.co/VDOOXZ3MGi","nonrescue"
"29","@Montel_Williams Hmmm, don't recall you saying that about #Harvey","nonrescue"
"89","RT @HamiltonMS1: THANK YOU! We are #HoustonStrong #HeightsLife We need volunteers to help hand out donations tomorrow 9-5 #HISD #Harvey htt…","rescue"
"13","Don't worry #Houston, we'll get you back on the road in no time #harvey #houstonstrong #truckerlife #bigrig… https://t.co/ognnc51wAZ","nonrescue"
"62","RT @EmilyAmPress: 'You are my heroes.' Mayor praises volunteers, employees, law enforcement agencies for helping #Harvey recovery https://t…","nonrescue"
"41","@statesman BEWARE! photos from my SE Austin back yard, 09/05: Cottonmouth AKA water moccasin snake? Venomous. After… https://t.co/7mn7qswilj","nonrescue"
"142","RT @theadvocatebr: The #CajunNavy is on its way to Houston to help with #Harvey recovery. Read about the group's past heroics here: https:/…","rescue"
"43","9/6: #VET team made field service calls in Jefferson County + still operating in Rockport, Brazoria County &amp; Sour Lake. #TAMU #CVM #Harvey","nonrescue"
"17","RT @JerryHaddican: @TxDOT appreciates @USDOT &amp; the opportunity to provide information on infrastructure in TX after #Harvey https://t.co/UD…","nonrescue"
"117","'You are my heroes.' Mayor praises volunteers, employees, law enforcement agencies for helping #Harvey recovery https://t.co/Rl0Jwkeh6R","rescue"
"61","RT @BridgeTheGulf: In #PortArthur @jsdart reports on @HiltonKelley's return after #Harvey &amp; why we need #AJustHarveyRecovery. https://t.co/…","nonrescue"
"140","RT @TexasTribune: As classes resume at @UHouston, students, faculty and staff are finding ways to help each other after #Harvey: https://t.…","rescue"
"10","RT @KPRCAndyCerota: Volunteers from Florida &amp; Iowa helping cleanup crews at C.E. King HS in @SheldonISD with #Harvey recovery. @KPRC2 6pm #…","nonrescue"
"148","We have a lot of resources. If you need help cleaning your home of debris after #Harvey register now! #HouRecovers… https://t.co/eFixZyaSjp","rescue"
"97","RT @PatrickSvitek: The breakdown of the Trumps' $1 million personal donation to #Harvey relief efforts, via the White House: https://t.co/p…","rescue"
"63","Harris County was warned of flood risk 20 years ago https://t.co/DoUBbdJWXs via @ABC13Houston#cnn #abc #harvey","nonrescue"
"109","RT @GulfStateHB: Harvey flood dangers, what to look out for! #harvey #Flood #houston #dangerous https://t.co/9IBrZTeGUV","rescue"
"137","#HarrisCounty delays hundreds of trials due to #Harvey damage https://t.co/tul7YKqWEd #houstonflood https://t.co/Yk3n9BYrBD","rescue"
"1","'Navigating Cancer Care in the Midst of a Natural Catastrophe' https://t.co/qHmFlQlCLW via @cure_magazine #Irma #Harvey","nonrescue"
"33","Of course they are. Godspeed

After #Harvey, @PHXFire Task Force 1 en route to Florida to help if #Irma hits https://t.co/MJOQbdNEL4","nonrescue"
"58","Umm, triangular shaped head--water moccasin or cottonmouth snake? Shot these photos near my back door, 09/05, SE Au… https://t.co/IglgOHZMCL","nonrescue"
"118","RT @TTLA_: Help @TTLA_ support the relief &amp; rebuilding efforts for the communities affected by #Harvey. Contribute here: https://t.co/6ZOih…","rescue"
"3","RT @elizabethcrisp: .@LouisianaGov urges Congress to address SBA loan issue as it considers #Harvey aid https://t.co/VGv2ukQB5d @theadvocat…","nonrescue"
"114","#DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/44R8oHaL8f #houstonflood https://t.co/56vVFCQ226","rescue"
"141","Hurricane #Harvey: Stag Provisions’ Flea Market to benefit relief fund https://t.co/73h0WTnWFz https://t.co/B1vHK3b0CG","rescue"
"81","RT @abc13houston: We want you to #TurnToTed on Facebook Live at 6 for all your questions on renter's rights linked to #Harvey. Submit a que…","rescue"
"100","RT @abc13houston: The Empire State Building in New York is dark tonight in solidarity with those affected by #Harvey: https://t.co/mzSLmlYv…","rescue"
"80","RT @abc13houston: Do you have questions about renter's rights after #Harvey? Ask @TedABC13 a question NOW on Facebook Live: https://t.co/Wu…","rescue"
"78","RT @NickABC13: 6pm on @abc13houston meet Bill Fly. The 99 year-old WWII vet who lost his home during #Harvey but is making a comeback thank…","rescue"
"57","RT @mihirzaveri: By @GabMoBanks: Homeowners, businesses sue Army Corps over releases from Addicks and Barker of #Harvey floodwater https://…","nonrescue"
"54","Partnering with @AggieSoccer to help families of children fighting cancer who have been affected by #harvey.… https://t.co/1UGAArU7tY","nonrescue"
"23","RT @SenTedCruz: .@SenateFloor:#Harvey was unlike anything. The scope of this disater is beyond words.  The destruction stretches from Corpu…","nonrescue"
"102","RT @TFRW: There are still people in need of relief from #Harvey. Visit our website to see how you can help! https://t.co/wpe6Bx1ePm","rescue"
"128","RT @bcmhouston: Baylor experts offer patient care tips for those who may be facing medical challenges in the aftermath of #Harvey. https://…","rescue"
"145","RT @SenTedCruz: Heidi, the girls, my staff &amp; I are proud to serve #TX &amp; lend a helping hand to those impacted by #Harvey in #Houston today.…","rescue"
"67","RT @HoustonSPCA: Updated link: https://t.co/I8oalAYVKk. Lost and found for #Harvey victims. Please share! https://t.co/x7q6tGIIfN","nonrescue"
"144","RT @KXAN_News: J.J. Watt Foundation gets $5M from @HEB chairman for #Harvey relief
https://t.co/qLf9oOuRKP https://t.co/GlpO4r4MtJ","rescue"
"77","People are looking to each other for help, while politicians start to position themselves for benefitting from relief fund. #Harvey","rescue"
"131","Volunteers from Florida &amp; Iowa helping cleanup crews at C.E. King HS in @SheldonISD with #Harvey recovery. @KPRC2 6… https://t.co/ePyveGS4jS","rescue"
"106","RT @EmilyAmPress: 'You are my heroes.' Mayor praises volunteers, employees, law enforcement agencies for helping #Harvey recovery https://t…","rescue"
"99","9/5, evening: US National Guard members stopped by to help put up tents at new #VET base of operations in Beaumont.… https://t.co/NgtKQA80VV","rescue"
"49","RT @StMarysU: Share what you're doing to help #Harvey victims. We'll RT!

Alumna @tcfitnesshealth used her personal training business to gi…","nonrescue"
"139","#HarrisCounty delays hundreds of trials due to #Harvey damage https://t.co/gHboYkOg9J #houstonflood https://t.co/Zok7jubcoY","rescue"
"136","RT @HPMNews887: #HarrisCounty delays hundreds of trials due to #Harvey damage https://t.co/swpYD0PC1R #houstonflood https://t.co/niPqbP0hwf","rescue"
"125","ICYMI: @POTUS  identifies 12 charities he's giving $1M to for #Harvey relief https://t.co/A9rqEs2Ewn","rescue"
"129",".@unionhouston is serving a family w/ the following needs. Please reach out to me if you can meet any… https://t.co/uuzHlbOCyG","rescue"
"64","Sorry Mijos WEPA IS RESCHEDULED FOR NEXT WEEK DUE TO #Harvey Renovations FREE RSVP IS STILL… https://t.co/9q5VpAuNmZ","nonrescue"
"120","RT @ReadyHarris: Neighbors helping neighbors: help each other out with difficult/heavy #debris removal to prevent injury. #Harvey #safetyfi…","rescue"
"27","9/5, evening: US National Guard members stopped by to help put up tents at new #VET base of operations in Beaumont.… https://t.co/NgtKQA80VV","nonrescue"
"40","RT @HoustonISD: Register today: #HISD Parent Summit to support learning and provide resources on recovering from #Harvey. https://t.co/C90Q…","nonrescue"
"121","RT @_JuanRodriguez_: Students at @LamarUniversity are getting college credit for helping out in #Harvey recovery efforts

We'll explain on…","rescue"
"11","My frequently used emoji list basically sums up my week of #Harvey in #Houston: <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B0><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+00A3><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00AE><ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+00A7><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+00BB><U+263A><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B0><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+0090><ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> 
#thinkpositive #thinktacos","nonrescue"
"113","#DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/8Eowo55Awn #houstonflood https://t.co/gY9RRmSv1b","rescue"
"31","@cher will u be in Vegas (9/9-9/12) I really want to see u in concert Ive been getting my apt back at 100 n I haven’t checked dam #Harvey","nonrescue"
"122","Late fees add problems for tenants who missed out on work during #Harvey https://t.co/LUMjywLpT9 #houstonflood https://t.co/nMuyB4T5aU","rescue"
"6","RT @JimSharpe: Of course they are. Godspeed

After #Harvey, @PHXFire Task Force 1 en route to Florida to help if #Irma hits https://t.co/MJ…","nonrescue"
"8","Trying our best to overcome #harvey My #onramps class met again to practice #rstudio b4 school reopens. So proud of… https://t.co/mULwVkXMjr","nonrescue"
"127","RT @austin360: Hurricane #Harvey: Stag Provisions’ Flea Market to benefit relief fund https://t.co/73h0WTnWFz https://t.co/B1vHK3b0CG","rescue"
"38","Today in my commute to work in Austin, I saw over 20 vehicles from @PHXFire @AZNationalGuard returning from #Harvey. Amazed at the support!","nonrescue"
"87","Amazing @springspiritbb kids wanted to help #Harvey victims. Sold lemonade &amp; got $10,000 check! Proud to tell their… https://t.co/ephcoRe5Ly","rescue"
"112","#DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/TiQ1f4cqoo #houstonflood https://t.co/Q1YurbRHSH","rescue"
"143","RT @AufstandS21: <ed><U+00A0><U+00BC><ed><U+00B6><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>Please<ed><U+00A0><U+00BD><ed><U+00B9><U+008F> help sharing<U+203C><U+FE0F>Thanks for helping to spread the word about how we can help displaced pets <ed><U+00A0><U+00BD><ed><U+00B8><U+00BF> #Harvey Texas https…","rescue"
"46","RT @MattHafeli: As a Beaumont resident post-#Harvey, I give <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> to: @kfdmnews @HEB @Cityofbmt @EntergyTX @verizon @fema @RedCross @sojourn…","nonrescue"
"73","#Harvey recovery efforts have been stymied by traffic, with months’ worth of work still ahead.
https://t.co/4aDKtmQFNf","nonrescue"
"134","RT @imkevinquinn: If you are looking for a place to help w/ #harvey cleanup, there's many homes in Valley Lodge near Simonton where they ca…","rescue"
"93","A friend of mine in Houston needs help repairing the #Harvey damage to his home. Every little bit helps. Thank you! https://t.co/OfoojXpjVp","rescue"
"16","RT @HoustoniaMag: #Harvey recovery efforts have been stymied by traffic, with months’ worth of work still ahead.
https://t.co/4aDKtmQFNf","nonrescue"
"108","RT @MidlandOfficial: Please text ""Harvey"" to 90999 to help our brothers and sisters in Texas #TexasStrong #Harvey https://t.co/XqaeTTobD5","rescue"
"84","RT @txvalues: We recommend donating to Samaritan's Purse, helping those affected by #Harvey physically and spiritually. #txlege   https://t…","rescue"
"91","RT @nathanlino: Thanks to my new friend Michael @Whataburger for donating to #Harvey relief through Farrington Mission. https://t.co/fdEtxL…","rescue"
"83","Shoutout to @Apple wife damaged phone while working #harvey relief with TX National Guard. Gave her replacement for free. Out of warranty.","rescue"
"9","RT @NWSHouston: DO NOT go out to sight see the damage/flooding! #Harvey https://t.co/N6A1bLOrRS","nonrescue"
"86","If you are still looking for ways to help victims of #flooding from #Harvey click here https://t.co/y46hfTQpmu","rescue"
"74","RT @GulfStateHB: Harvey flood dangers, what to look out for! #harvey #Flood #houston #dangerous https://t.co/9IBrZTeGUV","nonrescue"
"28","RT @KPRC2: .@googoodolls turn The Woodlands #Texas concert into Hurricane #Harvey benefit https://t.co/b2rASJhePg https://t.co/TFoFLSYunC","nonrescue"
"14","Do you have questions about renter's rights after #Harvey? Ask @TedABC13 a question NOW on Facebook Live:… https://t.co/osbfIEiqgl","nonrescue"
"76","RT @ShernMinKHOU: Amazing @springspiritbb kids wanted to help #Harvey victims. Sold lemonade &amp; got $10,000 check! Proud to tell their story…","rescue"
"66","RT @BAP2017: Texas Mother Drowned Saving 3-Year-Old Daughter Found Clinging To Her Back!
#ColetteSulcer #Harvey #Texas #RIPColetteSulcer #H…","nonrescue"
"123","Late fees add problems for tenants who missed out on work during #Harvey https://t.co/jKDmg7wNwh #houstonflood https://t.co/yhcSpfzsEg","rescue"
"126","RT @RepGeneGreen: .@SBAgov has opened a Business Recovery Center to help businesses affected by #Harvey.  RT to share! https://t.co/aQieMqJ…","rescue"
"94","RT @KPRCAndyCerota: Volunteers from Florida &amp; Iowa helping cleanup crews at C.E. King HS in @SheldonISD with #Harvey recovery. @KPRC2 6pm #…","rescue"
"138","#HarrisCounty delays hundreds of trials due to #Harvey damage https://t.co/swpYD0PC1R #houstonflood https://t.co/niPqbP0hwf","rescue"
"105","Partnering with @AggieSoccer to help families of children fighting cancer who have been affected by #harvey.… https://t.co/1UGAArU7tY","rescue"
"146","RT @abc13houston: WATT A DONATION! @HoustonTexans star @JJWatt has raised $20M for #Harvey relief efforts with your help! THANK YOU, HOUSTO…","rescue"
"26","RT @bravelittleco: The Brave Little artist family rode out #Harvey &amp; are safe. We know many students, teachers, &amp; artists need help. #Houst…","nonrescue"
"149","I'm going to @SourceCon thanks to over $4700 raised by @Source_Houston for #Harvey relief. #HoustonSourcingCrew https://t.co/WAoSRUY3Ha","rescue"
"130","Please consider helping w/ #Harvey flooding disaster recovery https://t.co/CnBAy2FEkh via @youcaring","rescue"
"101","Of course they are. Godspeed

After #Harvey, @PHXFire Task Force 1 en route to Florida to help if #Irma hits https://t.co/MJOQbdNEL4","rescue"
"111","There are still people in need of relief from #Harvey. Visit our website to see how you can help! https://t.co/wpe6Bx1ePm","rescue"
"110","We offer 3 wine pairings for your @HouRestaurantWk meal. And each one of them benefits Hurricane #Harvey relief!… https://t.co/aA5VwoL4iM","rescue"
"50","RT @USTWSoccer: #Harvey can't keep us down. We're back at it Friday! #USTWS

<U+26BD><U+FE0F> vs. #NAIASoccer #11 @MobileRams
<ed><U+00A0><U+00BD><ed><U+00B3><U+0085> Sept. 8
<U+23F0> 7 p.m.
<ed><U+00A0><U+00BD><ed><U+00B3><U+008D> Orange…","nonrescue"
"35","RT @KeriKimler: Due to the after-effects of Hurricane #Harvey, the date and location for this event have changed. https://t.co/2l8EIyEuvg","nonrescue"
"104","RT @StMarysU: Share what you're doing to help #Harvey victims. We'll RT!

Alumna @tcfitnesshealth used her personal training business to gi…","rescue"
