,text,class
1, additionally look #harvey case study ,1
2, look closely kfc man looks sort like stick man #kfc #harvey #staystrongtexas #hurricane… ,1
3, exactly far worse thousands entitled full restit… ,1
4, thanks boston dental business dentaquest donating $  help texas #harvey htt…,1
5,#thestory knew problem problem problem now problem #harvey #texasstrong,1
6,sept update #harvey restoration #texas #hurricaneharvey  ,2
7,post-harvey recovery houston schools feeding thousands families day  #harvey… ,2
8,going thanks $ raised #harvey relief #houstonsourcingcrew ,2
9, #cajunnavy way houston help #harvey recovery read group's past heroics …,2
10, last week visited nyc talk &amp #harvey relief …,1
11, post-harvey recovery houston schools feeding thousands families day  #harvey #houstons…,2
12, pm meet bill fly year-old wwii vet lost home #harvey making comeback thank…,1
13, eat food came contact #harvey floodwaters doubt throw …,2
14, commute will mess morning time come  #harvey #houtraffic #hounew…,2
15, hurricane recovery humor #harvey seen westbury ,2
16, amazing kids wanted help #harvey victims sold lemonade &amp got $ check proud tell story…,1
17,shoutout wife damaged phone working #harvey relief national guard gave replacement free warranty.,1
18,community pastors coming together prayer #daysofprayer #harvey,1
19, post-harvey traffic joke took noon today good luck commuters #harvey …,1
20, special live show los angeles benefit affected #harvey please join support tix …,1
21, please help sharing thanks helping spread word can help displaced pets #harvey texas …,2
22, get used seeing debris #harvey cleanups  will months #hou…,1
23, class action suits filed following massive flooding release water local reservoirs #abc @ #harvey #harv…,1
24,homeowners suing reservoir releases case #harvey #hounews  ,2
25, come new guide hiring contractor natural disasters like #harvey …,1
26, check new guide #housing rights information people #disabilities impacted #harvey …,2
27,“ wondering stuck traffic beltway boheme #abc #harvey ”,2
28, tip sheet families displaced #harvey students disabilities  #txed,2
29, wondering traffic horrible #beltway #harvey #abc ,2
30,copy phasma still stuck #harvey created amazon time-warp going arrive till th...,2
31,tceq liner protecting toxic san jacinto waste pits exposed indication waste … ,1
32, texas railroad commission says gas supply state quickly recovering #harvey ,2
33, today's collection important links media stories state bar texas #harvey media reports – sept …,2
34, cobbled things together real documentation things … ,2
35, / evening #vet members + soldiers engaged puppy therapy #tamu #cvm #harvey ,1
36, week talking #harvey #houstonstrong ,1
37, #harvey rain floodwaters got home take steps prevent #mold growth  #houreco…,2
38, hospitals see influx patients #harvey-related symptoms particularly skin infections ,1
39,new #blog post #hurricane #hurricaneharvey #texasstrong #texasflood #harvey #harveyrelief #deepintheheartoftexas ,2
40, excited announce board approved donating $ —$ &amp — #harvey #legala…,2
41,amazing kids wanted help #harvey victims sold lemonade &amp got $ check proud tell … ,1
42, thank stopping replace employees’ boots ruined #harvey recovery …,2
43, many houston #dreamers lost everything #harvey now lost #daca help vulnerable …,1
44, #keishawilliams turned saturday died #harvey flood waters near woodforest apt #abc #ripkeishawil…,1
45, days driving empty flooded roads never though happy see #houstontraffic #harvey #khou …,2
46, city houston employee missing last heard height #harvey way work …,1
47, #translation stipends increase access services &amp supports people #disabilities impacted #harvey …,1
48, smethin climate #harvey hits #texas now #irma headed hometown #miami next jose headed colombia ,2
49, special live show los angeles benefit affected #harvey please join support tix… ,2
50,mad forgetting jeans day today &amp wearing real clothes school #harvey got days … ,1
51,going take break #harvey coverage celebrate setx football back # #scalpem… ,1
52, wondering traffic horrible #beltway #harvey #abc ,1
53, national guard using johnson coliseum base operations amid hurricane #harvey relief efforts ,2
54, among #hisd schools suffered ‘extensive’ damage #harvey update campuses …,2
55,friend mine houston needs help repairing #harvey damage home every little bit helps thank ,1
56, first box picture books ready books just box can barely lift #booksforhouston #harvey #…,2
57, advice file claims #harvey #hounews  …,2
58,hurricane #harvey stag provisions’ flea market benefit relief fund  ,2
59, #harvey recovery efforts stymied traffic months’ worth work still ahead ,1
60, want hear families displaced #harvey trying get children back school …,2
61, small cattle drive sh bmt right now careful lots livestock trying find higher ground #harvey …,2
62,mold &amp reaction mold allergies ddx upper respiratory #harvey bring ,2
63,due -effects hurricane #harvey date location event changed.… ,2
64,post-harvey recovery houston schools feeding thousands families day  #harvey… ,2
65,feelings #harvey #irma right now @ freese media group ,1
66, watt plan $ million-plus raised #harvey victims will used ,1
67, questions renter's rights #harvey ask question now facebook live …,1
68, disinfect toys contact #harvey floodwaters letting kids play …,1
69, worry #houston get back road time #harvey #houstonstrong #truckerlife #bigrig… ,1
70,want #turntoted facebook live questions renter's rights linked #harvey submit… ,2
71, sending affected #harvey #texasstrong #utsa ,1
72, thank honoring first responders work #harvey keeping students campus…,2
73, week #harvey texas &amp yet approve food aid program designed help victims …,1
74,frequently used emoji list basically sums week #harvey #houston #thinkpositive #thinktacos,1
75, texas state library archives commission offer “rebuilding texas libraries” disaster relief grants #harvey …,2
76,students will make school days missed due #harvey board approved request waiver #springbranchisd,1
77,even though #harvey's aftermath will test resolve will never break spirit #strong #texasstrong ,2
78, impacted #harvey flood insurance start visiting  call --…,2
79, transportation issues #harvey ruined ride waze carpool now offering free carpools houston …,1
80,feel pain live port aransas texas took initial hit #harvey.,1
81, tiger two lions transported operational #harvey ,1
82, house approves first installment hurricane harvey disaster aid #newsnowharvey #harvey #strong …,1
83, story experience share #harvey want know.,1
84, heidi girls staff &amp proud serve # &amp lend helping hand impacted #harvey #houston today.…,2
85,#state #local officials meet #cabinetmembers discuss #infrastructure plan #harvey ,2
86, shoutout students communities handing supplies since #harvey hit #lesm …,1
87, wic clients evacuated lost wic card food benefits can replace #harvey wic sites …,2
88, profs hoffman janet beck uhlc students alums participate #harvey volunteering nrg center #…,1
89,crews working get beltway open #abc #harvey ,2
90, hope just days old family 1d following #harvey ,1
91, #harvey rain floodwaters got home take steps prevent #mold growth  #houreco…,2
92,family seeks answers city employee disappears without trace #harvey ,2
93, questions #harvey disaster recovery insurance claims please visit website info:… ,2
94,inches stories terror heartbreak heroism #harvey ,1
95,advice file claims #harvey #hounews  ,2
96, wondering stuck traffic beltway boheme #abc #harvey ,1
97,stop talking #harvey,1
98, will #houston's post #harvey recovery exacerbate #inequities build just city  via …,1
99, #harvey left everything #beaumont heavy &amp wet / water still nothing drink  …,2
100, update house passes $ billion harvey aid package  #harvey #houstonflood …,1
101, #harvey left feeling shaken &amp emotional weather event handled retrospective …,2
102,pm meet bill fly year-old wwii vet lost home #harvey making comeb… ,2
103, still looking ways help victims #flooding #harvey click ,1
104, team still hard work helping residents recover #harvey …,2
105, [news release] texas conduct aerial #mosquito control refugio bee counties wake #harvey read …,2
106,many prominent deaths weekend love hear dave hlubek's...#flirtingwithdisaster #harvey,1
107, classes resume students faculty staff finding ways help #harvey …,2
108, crews begin pumping water flooded beltway west story photos --&  #houstonflood #harvey …,1
109, sight see damage/flooding #harvey ,1
110,post-harvey recovery houston schools feeding thousands families day  #harvey… ,2
111, houstonians kayaked around houston #harvey saving lives stranded floodwaters …,2
112, first day #harvey books welcome back coogs ,1
113,#harvey #harveyrelief please get bottled water evacuees staying gallery furniture houston … ,2
114, reminds #harvey #houston needs petrochemicals ever …,1
115,people looking help politicians start position benefitting relief fund #harvey,1
116,task force #harvey flights practice field ,1
117, questions #harvey disaster recovery insurance claims please visit website info …,2
118,#harvey caused enough damage already find today field-less county using park debris ,2
119, denying hurricane #harvey’ #climate links worsens future suffering ,1
120,just fyi - post #harvey every #hisd student can get free meals day nyc live houston… ,1
